name;currency;experience;location;skills;link
Data Science Engineer;USD;5-7;Hyderabad/Secunderabad;machine learning development, artificial intelligence solutions, api development expertise, azure machine learning, ci, cd environment, microsoft azure, ds;n/a
Data Science Trainer;USD;4-5;Bengaluru;technical training delivery, content development expertise, cloud technology knowledge, instructional design skills, python programming proficiency, learning, training programs, communication, technical trainer;n/a
Intern - Data Science;USD;0;Switzerland;data analysis techniques, python programming, llm implementation, cloud platforms experience, sql database knowledge, web development, machine learning, javascript;n/a
Analytics & Data Science;USD;9-12;Bengaluru;python, sas, sql, data extraction, hadoop;n/a
Data Science Director;USD;0;Bengaluru;data analytics, big data analytics, director, consulting, data science;n/a
Head Data Science;USD;2-3;Bengaluru;data analytics, big data analytics, consulting, data science;n/a
Data Science Director;USD;15-20;Hyderabad/Secunderabad;algorithms, c, data warehousing, sql, java, perl, big data, rest, python, c, natural language processing, sas, director, machine learning, ruby;n/a
Data Science Director;USD;0;Mumbai;data analytics, big data analytics, director, consulting, data science;n/a
Data Science Evangelist;USD;2-3;Gurugram;data science, sas, predictive modeling;n/a
Associate - Data Science;USD;2-5;Bengaluru;visualization, data analytics, sas, spss, tableau, data science, data scientist, software development methodologies;n/a
Data Science Analyst;USD;0;Chennai;data science technologies, process mining techniques, machine learning applications, statistical analysis methods, python, r, sql proficiency, dashboards, statistical modeling, data cleaning, analyst, process transformation;n/a
Specialist - Data Sciences;USD;5-7;Hyderabad/Secunderabad;Mandatory Skills : Agentic Framework, AI, Generative AI;n/a
Intern - Data Science;USD;0;Switzerland;data analysis techniques, python programming, llm implementation, cloud platforms experience, sql database knowledge, web development, machine learning, javascript;n/a
Data Science & Analytic;USD;1-2;Delhi, Delhi/NCR;hive, algorithms, data mining, pig, sql, java, apache, hadoop, technical skills, big data, hbase, python, impala, machine learning, mapreduce, consultant;n/a
Modelling & Data Science Executive;USD;3-5;Bengaluru;advanced analytics, data visualization, sql proficiency, python automation, communication skills, business requirements, bi, dashboards, cpg, data analysis, tableau, data cleaning, statistical analysis;n/a
Modelling & Data Science Executive;USD;5-7;Bengaluru;data science solutions, client relationship management, sales presentation skills, team development objectives, communication of insights, marketing, client relationships;n/a
Account Manager - Data Science;USD;4-5;Chennai;data analysis, python programming, mysql optimization, gcp expertise, dashboard creation, algorithms, bi, data warehousing, database development, git, machine learning;n/a
Senior Manager, Data Science;USD;7-10;Hyderabad/Secunderabad;machine learning algorithms, deep learning models, computer vision techniques, python programming, data visualization skills, mining, imaging, biometrics;n/a
Senior Data Science Engineer;USD;5-7;Gurugram;big data technologies, data engineering expertise, cloud computing skills, application development, devops automation, orchestration, storage, sql, docker, apache, shell scripting, hadoop, api, rest, python, node.js, django, infrastructure, dash;n/a
Data Science Analyst;USD;0;Chennai;data cleaning techniques, machine learning applications, statistical analysis methods, python programming proficiency, team collaboration skills, dashboards, sql, data science, statistical modeling, mining, analyst, process transformation;n/a
Senior Engineer - Data Science;USD;3-5;Chennai, Gurugram;data analysis techniques, predictive modeling, data visualization, data quality control, stakeholder collaboration, algorithms, data mining, ensemble;n/a
Data Science & AI Specialist;USD;5-8;Hungary;large language models, generative ai solutions, machine learning frameworks, data engineering collaboration, natural language processing, algorithms, artificial intelligence, docker, java, python;n/a
Upstox - Leader - Data Science;USD;10-13;Bengaluru, Mumbai;machine learning expertise, generative ai solutions, llm integration skills, data analysis proficiency, team leadership experience, artificial intelligence, python, director;n/a
Modelling & Data Science Executive;USD;5-7;Bengaluru;data science solutions, client relationship management, sales presentation skills, team development objectives, communication of insights, marketing, client relationships;n/a
Modelling & Data Science Executive;USD;3-5;Bengaluru;data analysis skills, sql proficiency, data visualization, python programming, communication skills, business requirements, bi, dashboards, cpg, advanced analytics, tableau, data cleaning, statistical analysis;n/a
Account Manager - Data Science;USD;4-5;Chennai;data analysis, python programming, mysql optimization, gcp expertise, dashboard creation, algorithms, bi, data warehousing, database development, git, machine learning;n/a
Senior Advisor- Data Science;USD;8-10;Bengaluru;natural language processing, machine learning algorithms, data visualization techniques, mlops lifecycle management, predictive modeling expertise, bi, sql, database, java, big data, rest, javascript, messaging, django, web technologies;n/a
Modelling & Data Science Executive;USD;3-4;Pune;data visualization tools, statistical analysis techniques, market measurement solutions, data manipulation expertise, strong storytelling ability, business requirements, sql, data science, data analysis, tableau, analyst;n/a
Modelling & Data Science Director;USD;5-7;Bengaluru;data science methods, analytics engagements, data preparation, trend analysis, team development;n/a
Senior Data Science Engineer;USD;3-6;Gurugram;data engineering expertise, cloud & kubernetes, big data technologies, application development, automation & devops, orchestration, storage, sql, docker, apache, shell scripting, hadoop, api, rest, python, node.js, django, infrastructure, dash;n/a
Senior Advisor- Data Science;USD;8-10;Bengaluru;natural language processing (nlp), machine learning techniques, data visualization expertise, mlops knowledge, predictive modeling skills, algorithms, bi, sql, database, java, big data, rest, javascript, messaging, django, web technologies;n/a
Data Science Consultant - Remote;USD;5-9;Poland;data analysis & modeling, machine learning techniques, supply chain optimization, statistical analysis background, data visualization tools, supply chain solutions, logistics, supply planning, supply chain operations, supply chain planning, demand forecasting, stores, supply chain management;n/a
IN-Principal Data Science Consultant;USD;5-10;Bengaluru;supply chain expertise, data analysis modeling, customer interaction skills, ai, ml proficiency, team leadership, npi, tool development, enhancements, product development, manufacturing;n/a
Data Science Team Lead;USD;4-6;Pune;data science, leadership, team management, project planning, data analysis;n/a
Assistant Manager (Data Science);USD;3-5;Chennai;data analytics, sas, data science, vba, predictive modeling, statistical modeling, data visualization, statistical analysis, logistic regression;n/a
Senior Consultant - Data science;USD;6-9;Bengaluru;visualization, business requirements, data science, logistic regression, sas;n/a
Senior Manager Data Science;USD;8-11;Other City(s) in Maharashtra;**   machine learning algorithms, statistical analysis, data driven solutions, python programming, sql expertise  **, pig, shell scripting, messaging, unix, linux, sql programming, hive, scala, crm, sas, problem solving;n/a
Senior Manager Data Science;USD;8-11;Mumbai;machine learning implementation, statistical analysis expertise, python programming skills, data visualization techniques, project management leadership, pig, shell scripting, messaging, unix, linux, sql programming, hive, algorithms, scala, crm, sas, problem solving;n/a
Modelling & Data Science Executive;USD;3-5;Bengaluru;data analysis techniques, advanced sql skills, data visualization tools, python programming skills, communication effectiveness, business requirements, bi, dashboards, cpg, advanced analytics, tableau, data cleaning, statistical analysis;n/a
Specialist- Data Science & Analytics;USD;7-10;Bengaluru;data science solutions, convolutional neural networks, python programming, pyspark proficiency, predictive analytics, algorithms, artificial intelligence, devops, hadoop, big data, machine learning;n/a
Senior Manager, Data Science;USD;1-4;Noida/Greater Noida;machine learning expertise, statistical analysis skills, programming proficiency, data visualization skills, nlp techniques knowledge, time series analysis, bi, storage, data science, statistical modeling, advanced analytics, tableau, data cleaning;n/a
Modelling & Data Science Executive;USD;1-5;Bengaluru;analytical skills, communication skills, data processing, statistical analysis, problem solving, algorithms, machine learning;n/a
Data Science Senior Manager;USD;1-4;Bengaluru;machine learning expertise, statistical modelling knowledge, ai solutions development, programming proficiency (python, r), data analysis skills, c, data structures, software engineering, c#, algorithms, security, natural language processing, kernel;n/a
Data Science Practice Lead;USD;5-8;Bengaluru, Kochi/Ernakulam;visualization, technology management, data analytics, delivery management, bi, data science, solution design, debugging, crm, c, big data analytics, consulting, tableau;n/a
Modelling & Data Science Executive;USD;3-5;Bengaluru;data analysis skills, sql proficiency, data visualization, python programming, communication skills, business requirements, bi, dashboards, cpg, advanced analytics, tableau, data cleaning, statistical analysis;n/a
Account Manager - Data Science;USD;4-5;Chennai;data analysis, python programming, mysql optimization, gcp expertise, dashboard creation, algorithms, bi, data warehousing, database development, git, machine learning;n/a
Senior Manager, Data Science;USD;7-10;Hyderabad/Secunderabad;machine learning algorithms, deep learning models, computer vision techniques, python programming, data visualization skills, mining, imaging, biometrics;n/a
Senior Data Science Engineer;USD;5-7;Gurugram;big data technologies, data engineering expertise, cloud computing skills, application development, devops automation, orchestration, storage, sql, docker, apache, shell scripting, hadoop, api, rest, python, node.js, django, infrastructure, dash;n/a
Senior Engineer - Data Science;USD;3-5;Chennai, Gurugram;data analysis techniques, predictive modeling, data visualization, data quality control, stakeholder collaboration, algorithms, data mining, ensemble;n/a
Senior Advisor- Data Science;USD;8-10;Bengaluru;natural language processing (nlp), machine learning techniques, data visualization expertise, mlops knowledge, predictive modeling skills, algorithms, bi, sql, database, java, big data, rest, javascript, messaging, django, web technologies;n/a
Data Science & AI Specialist;USD;5-8;Hungary;large language models, generative ai solutions, machine learning frameworks, data engineering collaboration, natural language processing, algorithms, artificial intelligence, docker, java, python;n/a
Upstox - Leader - Data Science;USD;10-13;Bengaluru, Mumbai;machine learning expertise, generative ai solutions, llm integration skills, data analysis proficiency, team leadership experience, artificial intelligence, python, director;n/a
IN-Principal Data Science Consultant;USD;5-10;Bengaluru;supply chain expertise, data analysis modeling, customer interaction skills, ai, ml proficiency, team leadership, npi, tool development, enhancements, product development, manufacturing;n/a
Data Science Practice Lead;USD;5-8;Bengaluru, Kochi/Ernakulam;visualization, technology management, data analytics, delivery management, bi, data science, solution design, debugging, crm, c, big data analytics, consulting, tableau;n/a
Assistant Manager (Data Science);USD;3-5;Chennai;data analytics, sas, data science, vba, predictive modeling, statistical modeling, data visualization, statistical analysis, logistic regression;n/a
Senior Consultant - Data science;USD;6-9;Bengaluru;visualization, business requirements, data science, logistic regression, sas;n/a
Data Science Template Writer;USD;1-10;United States of America (USA);technical writing, content creator, editing, writing, articles;n/a
Senior Manager Data Science;USD;8-11;Other City(s) in Maharashtra;**   machine learning algorithms, statistical analysis, data driven solutions, python programming, sql expertise  **, pig, shell scripting, messaging, unix, linux, sql programming, hive, scala, crm, sas, problem solving;n/a
Senior Manager Data Science;USD;8-11;Mumbai;machine learning implementation, statistical analysis expertise, python programming skills, data visualization techniques, project management leadership, pig, shell scripting, messaging, unix, linux, sql programming, hive, algorithms, scala, crm, sas, problem solving;n/a
Modelling & Data Science Director;USD;5-7;Bengaluru;data science methods, analytics engagements, data preparation, trend analysis, team development;n/a
Modelling & Data Science Executive;USD;1-5;Bengaluru;analytical skills, communication skills, data processing, statistical analysis, problem solving, algorithms, machine learning;n/a
Senior Data Science Engineer;USD;3-6;Gurugram;data engineering expertise, cloud & kubernetes, big data technologies, application development, automation & devops, orchestration, storage, sql, docker, apache, shell scripting, hadoop, api, rest, python, node.js, django, infrastructure, dash;n/a
Data Science Consultant - Remote;USD;5-9;Poland;data analysis & modeling, machine learning techniques, supply chain optimization, statistical analysis background, data visualization tools, supply chain solutions, logistics, supply planning, supply chain operations, supply chain planning, demand forecasting, stores, supply chain management;n/a
Modelling & Data Science Executive;USD;3-5;Bengaluru;data analysis skills, sql proficiency, data visualization, python programming, communication skills, business requirements, bi, dashboards, cpg, advanced analytics, tableau, data cleaning, statistical analysis;n/a
Senior Advisor- Data Science;USD;8-10;Bengaluru;natural language processing, machine learning algorithms, data visualization techniques, mlops lifecycle management, predictive modeling expertise, bi, sql, database, java, big data, rest, javascript, messaging, django, web technologies;n/a
Senior Manager, Data Science;USD;7-10;Hyderabad/Secunderabad;machine learning algorithms, deep learning models, computer vision techniques, python programming, data visualization skills, mining, imaging, biometrics;n/a
Senior Data Science Engineer;USD;5-7;Gurugram;big data technologies, data engineering expertise, cloud computing skills, application development, devops automation, orchestration, storage, sql, docker, apache, shell scripting, hadoop, api, rest, python, node.js, django, infrastructure, dash;n/a
Senior Manager, Data Science;USD;2-5;Hyderabad/Secunderabad;predictive modeling, data mining techniques, machine learning languages, team collaboration, technical communication, recruitment process;n/a
Senior Engineer - Data Science;USD;3-5;Chennai, Gurugram;data analysis techniques, predictive modeling, data visualization, data quality control, stakeholder collaboration, algorithms, data mining, ensemble;n/a
Senior Advisor- Data Science;USD;8-10;Bengaluru;natural language processing (nlp), machine learning techniques, data visualization expertise, mlops knowledge, predictive modeling skills, algorithms, bi, sql, database, java, big data, rest, javascript, messaging, django, web technologies;n/a
Data Science & AI Specialist;USD;5-8;Hungary;large language models, generative ai solutions, machine learning frameworks, data engineering collaboration, natural language processing, algorithms, artificial intelligence, docker, java, python;n/a
Upstox - Leader - Data Science;USD;10-13;Bengaluru, Mumbai;machine learning expertise, generative ai solutions, llm integration skills, data analysis proficiency, team leadership experience, artificial intelligence, python, director;n/a
IN-Principal Data Science Consultant;USD;5-10;Bengaluru;supply chain expertise, data analysis modeling, customer interaction skills, ai, ml proficiency, team leadership, npi, tool development, enhancements, product development, manufacturing;n/a
Assistant Manager (Data Science);USD;3-5;Chennai;data analytics, sas, data science, vba, predictive modeling, statistical modeling, data visualization, statistical analysis, logistic regression;n/a
Senior Consultant - Data science;USD;6-9;Bengaluru;visualization, business requirements, data science, logistic regression, sas;n/a
Senior Manager Data Science;USD;8-11;Other City(s) in Maharashtra;**   machine learning algorithms, statistical analysis, data driven solutions, python programming, sql expertise  **, pig, shell scripting, messaging, unix, linux, sql programming, hive, scala, crm, sas, problem solving;n/a
Senior Manager Data Science;USD;8-11;Mumbai;machine learning implementation, statistical analysis expertise, python programming skills, data visualization techniques, project management leadership, pig, shell scripting, messaging, unix, linux, sql programming, hive, algorithms, scala, crm, sas, problem solving;n/a
Modelling & Data Science Executive;USD;3-4;Pune;data visualization tools, statistical analysis techniques, market measurement solutions, data manipulation expertise, strong storytelling ability, business requirements, sql, data science, data analysis, tableau, analyst;n/a
Analyst Data Science Analytics;USD;1-3;Bengaluru;data analysis techniques, statistical modeling expertise, bi reporting automation, strong communication skills, knowledge of data mining, python, sas, team player, machine learning;n/a
Modelling & Data Science Director;USD;5-7;Bengaluru;data science methods, analytics engagements, data preparation, trend analysis, team development;n/a
Senior Data Science Engineer;USD;3-6;Gurugram;data engineering expertise, cloud & kubernetes, big data technologies, application development, automation & devops, orchestration, storage, sql, docker, apache, shell scripting, hadoop, api, rest, python, node.js, django, infrastructure, dash;n/a
Data Science Internship in Pune;USD;0;Nasik, Pune, Jalgaon, Kolhapur, Solapur;data science, machine leanirng;n/a
Data Science Consultant - Remote;USD;5-9;Poland;data analysis & modeling, machine learning techniques, supply chain optimization, statistical analysis background, data visualization tools, supply chain solutions, logistics, supply planning, supply chain operations, supply chain planning, demand forecasting, stores, supply chain management;n/a
Senior Manager Data Science;USD;8-11;Other City(s) in Maharashtra;**  machine learning applications, statistical analysis proficiency, programming languages expertise, data driven solutions, customer segmentation techniques **, pig, shell scripting, python, messaging, unix, linux, sql programming, hive, algorithms, scala, crm, sas, problem solving;n/a
Modelling & Data Science Manager;USD;5-7;Bengaluru;data integration, team management, data analysis, client communication, project delivery, data science, customer analysis;n/a
Modelling & Data Science Executive;USD;2-6;Bengaluru;python programming, data management, web scraping, machine learning, model development, algorithms, sql, natural language processing, sas;n/a
Senior Data Science Engineer;USD;5-8;Gurugram;machine learning expertise, ai solution development, statistical modeling, data visualization, python proficiency, algorithms, data warehousing, sql, mysql, hadoop, big data, mongodb, nosql;n/a
Senior Data Science Engineer;USD;5-8;Gurugram;machine learning expertise, deep learning techniques, python proficiency, statistical modeling, cloud platform familiarity, algorithms, data warehousing, sql, mysql, hadoop, big data, mongodb, nosql;n/a
Senior Manager Data Science;USD;5-8;Hyderabad/Secunderabad;data science techniques, machine learning algorithms, project management skills, team leadership, communication skills, technology leadership, storage, artificial intelligence, python, mobile;n/a
Senior Manager, Data Science;USD;2-5;Hyderabad/Secunderabad;predictive modeling, data mining techniques, machine learning languages, team collaboration, technical communication, recruitment process;n/a
Analyst Data Science Analytics;USD;1-3;Bengaluru;data analysis techniques, statistical modeling expertise, bi reporting automation, strong communication skills, knowledge of data mining, python, sas, team player, machine learning;n/a
Senior Engineer, Data Science;USD;5-7;Chennai;ai adoption strategies, team management, data model delivery, computer vision expertise, coaching and mentoring, competency development, learning;n/a
Data Science Internship in Ahmedabad;USD;0;Ahmedabad, Surendranagar, Bhavnagar, Rajkot, Junagarh;data science, power bi;n/a
Data Science Intern;USD;0;Gurugram;mining, data science, data scientist, data visualization;n/a
Data Science Intern;USD;0;Gurugram;algorithms, python, machine learning;n/a
Co-Founder/ Head of Data Sciences;USD;0;Delhi;data mining, machine learning, artificial intelligence;n/a
Data Science Engineer, SMAI;USD;2-5;Hyderabad/Secunderabad;data extraction techniques, data visualization tools, web development languages, software development skills, big data engineering, css, technology leadership, storage, artificial intelligence, sql, software engineering, c#, python, mobile, machine learning, javascript, written communication;n/a
Data Science Engineer, SMAI;USD;2-4;Hyderabad/Secunderabad;data analysis techniques, sql query proficiency, machine learning knowledge, cloud data engineering, python programming fluency, hive, css, technology leadership, storage, artificial intelligence, hadoop, big data, hbase, c#, mobile, problem solving, javascript, web technologies, hdfs, angularjs;n/a
Modelling & Data Science Executive;USD;2-3;Pune;media mix modelling, regression analysis, data visualization tools, statistical analysis skills, data science solutions, business requirements, sql, data analysis, tableau;n/a
Data Science Internship in Ahmedabad;USD;0;Ahmedabad, Surat, Anand, Gandhinagar, Mehsana;machine learning, power bi, nlp;n/a
Senior Specialist - Data Sciences;USD;3-5;Pune;Mandatory Skills : MLOPS, GenAI - LLMOps, Python - Data Science, Machine Learning - AIOPS, Deep Learning - AIOPS;n/a
Data Science Internship in Ahmedabad;USD;0;Ahmedabad, Surendranagar, Bhavnagar, Rajkot, Junagarh;machine learning;n/a
Senior Specialist - Data Sciences;USD;5-7;Hyderabad/Secunderabad;Mandatory Skills : Flask, MySQL, Python, Generative AI, Open AI, Vector DB;n/a
Data Science Product Manager;USD;15-20;Hyderabad/Secunderabad;c, data warehousing, sql, java, perl, big data, python, c, sas, machine learning, ruby, infrastructure;n/a
Data Science Product Manager;USD;15-20;Mumbai;data analytics, customer success, big data analytics, consulting, data science;n/a
Co-Founder/ Head of Data Sciences;USD;0;Delhi;data mining, machine learning, artificial intelligence;n/a
AVP - Data Science and Analytics (Modelling);USD;7-10;Mumbai;predictive modeling, data analytics, team leadership, business insights, technical documentation, hive, sql, python, problem solving, consultant;n/a
Data Sciences Senior Technical Lead;USD;8-10;Chennai, Noida/Greater Noida;databricks expertise, pyspark programming, advanced sql skills, azure data factory, data engineering knowledge, python, adf, storage, devops, forms;n/a
Senior Manager, Infrastructure Data Science;USD;10-13;San Francisco;infrastructure optimization, data science leadership, machine learning development, analytical techniques expertise, data visualization proficiency, security, apache, big data, san, leadership skills;n/a
Data Science Manager, Product, Cloud;USD;8-12;Bengaluru;statistical analysis, data visualization, machine learning models, decision making, stakeholder management, job posting, program evaluation, recruitment, workforce, communication;n/a
Data Science Internship in Pune;USD;0;Pune, Amravati, Dhule, Sangli, Satara;power bi;n/a
Data Science Manager, Product, Cloud;USD;10-12;Bengaluru;data analysis techniques   machine learning development   statistical modeling   python and sql proficiency   stakeholder influence, job posting, program evaluation, recruitment, workforce, communication, decision making;n/a
Data Science Internship in Pune;USD;0;Pune, Amravati, Dhule, Sangli, Satara;deep leanirng, internship;n/a
Data Science/ Machine Learning Engineer;USD;4-5;Mumbai;hive, python, machine learning, pig, neo4j, cassandra, hadoop, big data;n/a
Sr Analyst- Data Science and Analytics;USD;5-8;Pune;analytical problem solving, statistical programming (r, python), data manipulation (sql, hive), project management, communication skills, c, pig, java, big data, data extraction, linux, hadoop, cloud computing, machine learning;n/a
Data Sciences Senior Technical Lead;USD;8-10;Chennai, Noida/Greater Noida;databricks expertise, pyspark programming, advanced sql skills, azure data factory, data engineering knowledge, python, adf, storage, devops, forms;n/a
Senior ML Engineer| Data Science;USD;6-8;Bengaluru;machine learning solutions, data pipeline development, gen ai integration, algorithm research, cloud computing proficiency, algorithms, data mining, sql, docker, java, devops, hadoop, big data, c#, python, microsoft azure;n/a
Senior Lead Engineer - Data Science;USD;8-11;Chennai, Gurugram;machine learning solutions, data lifecycle management, statistical modeling techniques, data wrangling expertise, programming in python, artificial intelligence, artificial neural networks, algorithms, data mining, problem solving, product delivery, django;n/a
Senior Manager, Infrastructure Data Science;USD;10-13;San Francisco;infrastructure optimization, data science leadership, machine learning development, analytical techniques expertise, data visualization proficiency, security, apache, big data, san, leadership skills;n/a
Data Science Intern (2026 Start);USD;1-5;San Francisco;html, css manipulation, javascript programming, data attribute management, image optimization techniques, front end development, san, loading;n/a
Lalamove - Team Lead, Data Science;USD;6-9;Hong Kong;machine learning life cycle, generative ai implementation, data science leadership, mlops workflow design, cloud platforms experience, recruitment;n/a
Advanced Analytics and Data Science Engineer;USD;7-10;Noida/Greater Noida;advanced analytics, machine learning, python programming, data modeling, sql proficiency, algorithms, debugging, data structures, director;n/a
Data Science Manager, Product, Cloud;USD;8-12;Bengaluru;data science expertise, statistical analysis proficiency, machine learning development, stakeholder communication, problem solving abilities, job posting, program evaluation, recruitment, workforce, decision making;n/a
Marketing Analytics with Data Science Lead;USD;5-8;Hyderabad/Secunderabad, Pune;dashboards, sql, tableau, data scientist, data visualization;n/a
Director, Data Science (AI & Automation);USD;7-10;Bengaluru;ai based microservices, natural language processing, rpa implementation, mlops best practices, data extraction techniques, interpersonal skills, learning, interview;n/a
VP - Data Science, Analytics & Digital;USD;12-15;Mumbai, San Francisco, Los Angeles, Philadelphia;data analysis techniques, business intelligence solutions, sql, plsql expertise, etl, reporting tools, data warehousing design, xml, web development, html, pl, sql, oracle, .net, bi, sharepoint, database, filezilla, mvc, san, dts, asp;n/a
Sr Analyst- Data Science and Analytics;USD;5-8;Pune;analytical problem solving, statistical programming (r, python), data manipulation (sql, hive), project management, communication skills, c, pig, java, big data, data extraction, linux, hadoop, cloud computing, machine learning;n/a
Architect - Data science and Server manageability;USD;12-15;Bengaluru;cloud infrastructure, software development, containerization tools, data analysis, machine learning ops, orchestration, devops, mysql, python, nosql, cassandra, fundamentals, docker, security, postgresql, mongodb, cloud services;n/a
Manager, Statistical Data Sciences Lead;USD;8-15;Mumbai;statistical programming, clinical trials expertise, sas hands on experience, project management skills, regulatory knowledge, research, ich, clinical data, cro, biological sciences;n/a
Lalamove - Team Lead, Data Science;USD;6-9;Hong Kong;machine learning life cycle, generative ai implementation, data science leadership, mlops workflow design, cloud platforms experience, recruitment;n/a
Advanced Analytics and Data Science Engineer;USD;7-10;Noida/Greater Noida;advanced analytics, machine learning, python programming, data modeling, sql proficiency, algorithms, debugging, data structures, director;n/a
Data Science Manager, Product, Cloud;USD;8-12;Bengaluru;data science expertise, statistical analysis proficiency, machine learning development, stakeholder communication, problem solving abilities, job posting, program evaluation, recruitment, workforce, decision making;n/a
Data Science Manager, Product, Cloud;USD;8-12;Bengaluru;data analysis, statistical modeling, machine learning, stakeholder management, data visualization, job posting, program evaluation, recruitment, workforce, communication, decision making;n/a
Sr Analyst- Data Science and Analytics-MRM;USD;5-8;Pune;analytical problem solving, statistical programming (r), data manipulation (sql), project management, communication skills, pig, big data, python, hive, data extraction, linux, hadoop, cloud computing, machine learning;n/a
