,name,salary,currency,experience,location,skills,extra_data,link,isparsing
10,Бизнес-аналитик,0,RUB,0,0,0,0,https://russia.superjob.ru/vakansii/biznes-analitik.html,1
11,Аналитик данных (data-analyst + BI-analyst) в службу бизнес аналитики и планирования,0,RUB,1,Москва,SQL,0,https://russia.superjob.ru/vakansii/analitik-dannyh-51256838.html,1
12,Бизнес-аналитик (Управление Состоятельные клиенты),0,RUB,1,Москва,0,"Обязанности:, формирование требований для IT-команды, включая команду моделирования;, проектирование клиентского пути (CJM) и выявление точек улучшения UX на основании трендов клиентского опыта;, сбор и анализ метрик, а также обратной связи от пользователей для развития продукта;, проведение исследования рынка, целевой аудитории и потребностей клиентов;, формирование стратегии и видения продукта, управление бэклогом изменений;, систематизация и оптимизация бизнес-процессов, подготовка бизнес-требований и технической документации;, участие в развитии решений с применением ML-моделей, рекомендательных сервисов и LLM;, работа с отчетностью, финансовыми моделями и взаимодействие с продуктовыми аналитиками., Требования:, опыт в бизнес-аналитике или продакт-менеджменте от 3-х лет;, навыки проектирования IT-решений и улучшения клиентского опыта;, знания в области финансов, инвестиций, wealth management, private banking, financial advising;, опыт работы с SQL и/или Python;, понимание основ системного анализа, data science (как преимущество).",https://russia.superjob.ru/vakansii/biznes-analitik-51255408.html,1
13,Аналитик-стажер,0,RUB,0,Москва,0,"О продукте и команде, , Мы развиваем технологии искусственного интеллекта для ключевых продуктов VK, создавая интеллектуальные системы рекомендаций и поиска контента., , Наша команда занимается построением единой, высокопроизводительной и масштабируемой системы поиска для всех платформ экосистемы VK, обеспечивая надежность и удобство эксплуатации., , Ключевые задачи, , Анализ экспериментов: Полное сопровождение A/B-тестов — от анализа результатов до помощи в принятии продуктовых решений, включая глубокий анализ спорных случаев., Продуктовые исследования: Поиск точек роста и оптимизации на всех этапах пользовательского пути., Разработка гипотез: Генерирование и проверка гипотез для развития Поискового сервиса., Работа с данными: Использование внутренней платформы YTsaurus для анализа данных через YQL., Требования к кандидату, , Уверенное владение Python для анализа данных., Знание SQL на уровне написания сложных запросов., Понимание классических алгоритмов и структур данных., Знание основ теории вероятностей и математической статистики., Мы предлагаем, , Команда и проекты, , Работа с ведущими экспертами индустрии в дружной команде, Участие в разработке 200+ технологических продуктов для 95% аудитории Рунета, Оснащение и развитие, , Современное оборудование: специализированные гаджеты и дополнительные мониторы, Регулярные митапы, конференции и профессиональные тренинги, Комфорт и здоровье, , Фреш-бар с фруктами и овощами в офисе, Спортивный зал с тренажерами, Офис в 5 минутах от метро с паркингом и велопарковкой, Корпоративная жизнь, , Мастер-классы и тимбилдинги на природе, Совместные просмотры кино и участие в VK Fest, Летний прокат велосипедов, лонгбордов и самокатов",https://russia.superjob.ru/vakansii/analitik-stazher-51547019.html,1
14,Бизнес-аналитик / Стажер,0,RUB,0,Москва,0,"О команде, , Мы развиваем дата-продукты VK Tech — решения для сбора, хранения и работы с большими данными. Наш портфель включает продукты для локального и облачного развёртывания, а клиентская база охватывает всех — от крупнейших банков до государственных компаний., , Ключевые задачи, , Исследование рынка: поиск, сбор и анализ информации о компаниях в сфере Big Data, AI и ML, Участие во внутренних исследованиях рынка и продуктов, Подготовка регулярных отчётов и аналитики по продуктовым метрикам, Создание материалов о продуктах для смежных команд (продажи, маркетинг), Мониторинг планов развития глобальных игроков и локальных конкурентов, Ведение и актуализация базы знаний о продуктах направления, Требования к кандидату, , Интерес к IT-продуктам и их развитию, Готовность погружаться в технические особенности продуктов и аналитику, Желание развиваться в направлениях: аналитика, стратегия, исследования, продуктовый менеджмент, Способность к совместной работе с техническими экспертами, маркетологами и продакт-менеджерами, Будет преимуществом, , Участие в кейс-чемпионатах, Мы предлагаем, , Команда: Работа с ведущими экспертами индустрии, готовыми делиться опытом, , Проекты: Участие в разработке 200+ технологических продуктов, которые используют свыше 95% аудитории Рунета, , Оснащение:, , Специализированные гаджеты, Дополнительные мониторы для комфортной работы, Развитие:, , Митапы, конференции и семинары, Профессиональные тренинги, Здоровье и комфорт:, , Фреш-бар с овощами и фруктами, Спортивный зал с тренажёрами, Офис в 5 минутах от метро, Крытый паркинг и велопарковка, Летний прокат велосипедов, лонгбордов и самокатов, Корпоративная культура:, , Мастер-классы и тимбилдинги, Совместные просмотры кино, Участие в VK Fest",https://russia.superjob.ru/vakansii/biznes-analitik-51547017.html,1
15,Аналитик данных (Департамент по работе с премиальными клиентами),0,RUB,1,0,0,"Обязанности:, выгрузка и обработка данных из различных информационных систем и источников посредством SQL-запросов;, формирование аналитических витрин данных (Apache Hadoop, Spark), настройка алгоритма для дашбордов (Superset), создание прототипов визуализации данных;, совершенствование системы регулярной управленческой и розничной отчетности;, предоставление аналитической информации для поддержки управленческих решений;, внедрение процессов управления качеством данных, формирование рекомендаций по повышению эффективности;, формирование регулярных отчетов и выборок для ad hoc запросов;, сегментирование клиентской базы состоятельного сегмента, выработка рекомендаций по продуктово-сервисному наполнению на основе сегментации;, оценка экономического эффекта от модификации существующих и внедрения новых продуктов, акций, в том числе разработка финансовых моделей., Требования:, опыт работы в финансовом секторе от 3-х лет (как преимущество);, навыки работы в SQL, с витринами данных Spark и Apache Hadoop.",https://russia.superjob.ru/vakansii/analitik-dannyh-51255499.html,1
16,"Бизнес-аналитик/ СJE (Разработка бизнес процессов, запуск и изменение банковских продуктов)",0,RUB,1,Москва,0,"Обязанности:, участие в разработке ценностного предложения и развития продуктовых сервисов текущего счета и карточных продуктов;, запуск новых продуктов, внесение изменений в действующие продукты на основе гипотез, подтвержденных метриками;, анализ и формирование целевых бизнес-процессов клиентского пути, формирование и согласование бизнес-требований, участие в проектировании процессов в составе бизнес и IT-команд;, построение партнерского взаимодействия с другими бизнес-сегментами банка/ стримами, постановка задач смежным командам;, участие в контроле качества разработки и выполнения исполнителями задач бэклога;, тестирование гипотез/ построение CJM пользователей;, исследование рынка и улучшение клиентского опыта;, методологическое сопровождение внедряемых бизнес-процессов., Требования:, навык написания бизнес-процессов (дорожные карты/ бизнес логика/ схемы процесса);, опыт работы в кросс-функциональных командах, знание базовых принципов работы Agile;, компетенции в разработке бизнес-продуктов/ IT-проектов;, опыт работы в банковском секторе.",https://russia.superjob.ru/vakansii/biznes-analitik-51323887.html,1
17,Аналитик данных IVR,80000,RUB,1,Старый Крым,0,"Ищем аналитика данных в канал виртуальный ассистент IVR. Мы занимаемся проектированием диалоговых сценариев и обучением виртуальных ассистентов банковским навыкам и консультационным услугам., Релевантный опыт от 2-х лет;, Знания статистики для работы с гипотезами и доверительными интервалами;, Опыт проведения а/б тестов; Умение работать с большими массивами данных;, Навыки презентации и визуализации;, Владение SQL, Spark, Python для обработки и анализа данных., Будет плюсом: Опыт работы с QlikView;, Опыт работы с библиотеками (nltk/gensim), т.к. иногда придется работать с текстовыми данными;, Опыт работы с Колл Центрами и автоматизацией обслуживания обращений, Анализ воронок клиентских путей в продуктах;, Выявление триггеров при взаимодействии с банком, влияющих на поведение клиентов в ботах;, Проведение и анализ продуктовых пилотов;, Построение дашбордов/отчетов;, Взаимодействие с командами BigData в Банке в части обмена опытом, Профессиональное обучение, семинары, тренинги, конференции;, Годовые премии; ДМС, сниженные ставки по кредитованию, программы лояльности для сотрудников;, Самые инновационные, амбициозные проекты и задачи;, Комфортный офис Sbergile Home с просторными опенспейсами, лаунж зонами, кафе, рестораном и оборудованными кухнями;, Бесплатный фитнес-зал;, Место работы БЦ Президент Плаза (м. Кутузовская).",https://russia.superjob.ru/vakansii/analitik-dannyh-ivr-51540687.html,1
18,Аналитик,0,RUB,0,0,0,0,https://russia.superjob.ru/vakansii/analitik.html,1
19,Аналитик бизнес процессов,0,RUB,0,0,0,0,https://russia.superjob.ru/vakansii/analitik-biznes-processov.html,1
20,Аналитик 1с,0,RUB,0,0,0,0,https://russia.superjob.ru/vakansii/analitik-1s.html,1
21,Аналитик BI,0,RUB,0,0,0,0,https://russia.superjob.ru/vakansii/analitik-bi.html,1
22,Аналитик 1с,0,RUB,0,0,0,0,https://russia.superjob.ru/vakansii/analitik-1s.html,1
23,Стажёр (Маркетолог-аналитик. Нефтегазопереработка и добыча),0,RUB,1,Москва,0,"О роли, Стажер присоединится к команде маркетинга и аналитики в направлении нефтегазопереработки и добычи. Это уникальная возможность получить практический опыт в анализе рынка и маркетинговых активностях в крупнейшей нефтегазохимической компании., Обязанности, * Аналитика и исследование рынка:, * Анализ вторичной маркетинговой информации и подготовка аналитических отчетов, * Мониторинг и анализ рынков углеводородного сырья, * Подготовка данных для расчета экономических показателей, * Поддержка маркетинговых процессов:, * Участие в подготовке коммерческих предложений, * Поддержка в организации маркетинговых мероприятий, * Работа с клиентской базой и подготовка презентационных материалов, * Работа с данными и отчетность:, * Подготовка регулярных отчетов по маркетинговой аналитике, * Обработка и анализ больших массивов данных, * Работа в CRM-системе, Мы ищем кандидата, который, Обязательные требования:, * Студент старших курсов или выпускник вуза по направлениям: ""Маркетинг"", ""Экономика"", ""Химическая технология"", ""Нефтегазовое дело"", * Готовность работать полный день (5/2), * Аналитический склад ума и внимательность к деталям, * Уверенное владение ПК (MS Office, особенно Excel), * Готовность изучать новые задачи и отраслевую специфику, Будет преимуществом:, * Опыт аналитической работы или стажировок, * Знание основ маркетинга и экономики, * Навыки работы с большими объемами информации, * Техническая грамотность и понимание основ нефтегазовой отрасли, Условия, * Официальное трудоустройство с первого дня по ТК РФ, * Полный день с возможностью гибкого начала дня, * Участие в программе адаптации, поддержка куратора, обучение у экспертов рынка, * Погружение в реальные задачи маркетинга и аналитики в нефтегазовой отрасли, * Возможность дальнейшего трудоустройства в компанию после успешного прохождения стажировки, * Современный офис в шаговой доступности от метро",https://russia.superjob.ru/vakansii/stazhjor-51179534.html,1
24,Аналитик (Дьютибокс),70000,RUB,1,Волжский,0,"Компания GRASS является одним из крупнейших производителей автохимии, автокосметики, моющих средств для клининга и бытовой химии., Наши главные ценности – чистота и постоянное движение вперед. С нами просто, чисто и выгодно!, Сейчас в команду Duty Box открыта вакансия Аналитика, Вам предстоит:, Анализ структуры и динамики продаж в разрезе ассортимента и партнеров по бизнес-направлению., Подготовка ежемесячной отчетности об эффективности (рентабельности) отдела продаж и выполнению ключевых бизнес-показателей (KPI);, Анализ финансовых показателей и подготовка предложений с целью повышения экономической эффективности отдела;, Бюджетное планирование деятельности отдела;, Участие в планировании продаж в разрезе менеджеров и регионов;, Контроль исполнения бюджета доходов и расходов бизнес-направления;, На регулярной основе проводить совместно с отделом продаж разбор ситуации по анализу доходности с фиксацией выводов и действий по улучшению ситуации;, Участие в маркетинговом анализе;, При необходимости инвестиционный анализ проектов, предлагаемых к внедрению, а также процесс мониторинга внедренных проектов на предмет соответствия запланированным параметрам;, Вы наш человек, если у вас есть:, Образование: Высшее, Знание Excel на высшем уровне, Личные качества: Высокая стрессоустойчивость; Системность, Пунктуальность; Отличные коммуникативные навыки; Самостоятельность; Нацеленность на результат; Амбициозность; Аналитический склад ума., Мы предлагаем:, Официальное трудоустройство и достойную белую заработную плату от 70 000, Карьерный рост в структуре компании, с поддержкой на каждом этапе вашего пути. Только за 2023 год более 40 сотрудников перешли на новую должностную ступень среди офиса и более 200 на производстве, Испытательный период длится 3 месяца — это важный период, который позволит присмотреться друг к другу и понять насколько комфортно вместе работать., График и место работы:, Удобный график работы с понедельника по пятницу, с 8:30 до 17:30, Современный офис, который получил экомаркировку «Листок жизни» в 2023 году, в котором собственное кафе и бар, по адресу: Ср. Ахтуба, Промышленная ,12, Тут вы всегда почувствуете свободу быть собой и отсутствие «dress – code»., Бенефиты:, Бесплатный корпоративный транспорт из Волгограда, Волжского и Ленинска, Ежегодная индексация зп, материальная помощь в различных жизненных ситуациях, В нашей стране Grass есть собственная валюта - Грасс Коины, которые можно получить за различные достижения и обменять на плюшки компании, Корпоративные мероприятия, способствующие командообразованию и укреплению духа сотрудничества, Скидки на продукцию компании, Бьюти-дни, которые регулярно проводятся в офисе, у нас есть оборудованное пространство, где нашим сотрудникам предоставляются услуги барбера, массажиста и бровиста, Мы стремимся к гармонии с природой и обществом. Наш отдел устойчивого развития играет ключевую роль в этом процессе. В нашем офисе раздельный сбор отходов, в том числе редких фракций. Отказ от одноразовой посуды, стаканчиков и даже чайных пакетиков. А еще мы спасаем зубров, и это лишь малая часть нашей миссии, Для поддержания физического здоровья у нас есть ДМС, а для ментального здоровья бесплатные сессии с лучшими психологами., Путь кандидата:, Знакомимся с вашем резюме, Просим ответить на несколько вопросов, Проводим 2 собеседования: первый этап - знакомство, второй - тестовое задание и третий - финальное интервью, Принимаем решение и вы начинаете работать., Готовы стать частью нашей истории успеха? Присоединяйтесь к GRASS!",https://russia.superjob.ru/vakansii/analitik-51073548.html,1
25,Финансовый аналитик,100000,RUB,1,Волжский,0,"Компания GRASS является одним из крупнейших производителей автохимии, автокосметики, моющих средств для клининга и бытовой химии., Наши главные ценности – чистота и постоянное движение вперед. С нами просто, чисто и выгодно!, Сейчас в нашу команду открыта вакансия Финансового аналитика, Вам предстоит:, Подготовка ежемесячной отчетности об эффективности (рентабельности) бизнес-подразделений;, Анализ финансовых показателей (анализ наценки, коммерческих условий, доходов и расходов, текущих активов) и подготовка предложений с целью повышения экономической эффективности бизнес-подразделений;, Бюджетное планирование деятельности отдела: подготавливать финансовую оценку бюджетов бизнес-подразделений; предлагать экономически обоснованные целевые параметры доходной и расходной части бюджета., Контроль исполнения бюджета доходов и расходов бизнес-направлений;, На регулярной основе проводить разбор ситуации по анализу доходности с фиксацией выводов и действий по улучшению ситуации совместно с руководителями бизнес-подразделений;, При необходимости инвестиционный анализ проектов, предлагаемых к внедрению, а также процесс мониторинга внедренных проектов на предмет соответствия запланированным параметрам., Участие в маркетинговом анализе: оценка факта продаж и предоставленных скидок покупателям, анализ эффективности промо-мероприятий., Вы наш человек, если у вас есть:, Высшее экономическое/математическое образование, Умение работать с большими объемами данных, Способность извлекать, систематизировать, анализировать информацию, Навыки подготовки презентаций, Свободное владение Excel (сводные таблицы и сводные диаграммы, модели данных), Умение работать в Power BI будет являться преимуществом, Мы предлагаем:, Официальное трудоустройство и достойную белую заработную плату от 100 000, Карьерный рост в структуре компании, с поддержкой на каждом этапе вашего пути. Только за 2023 год более 40 сотрудников перешли на новую должностную ступень среди офиса и более 200 на производстве, Испытательный период длится 3 месяца — это важный период, который позволит присмотреться друг к другу и понять насколько комфортно вместе работать., График и место работы:, Удобный график работы с понедельника по пятницу, с 8:30 до 17:30, Современный офис, который получил экомаркировку «Листок жизни» в 2023 году, в котором собственное кафе и бар, по адресу: Ср. Ахтуба, Промышленная ,12, Тут вы всегда почувствуете свободу быть собой и отсутствие «dress – code»., Бенефиты:, Бесплатный корпоративный транспорт из Волгограда, Волжского и Ленинска, Ежегодная индексация зп, материальная помощь в различных жизненных ситуациях, В нашей стране Grass есть собственная валюта - Грасс Коины, которые можно получить за различные достижения и обменять на плюшки компании, Корпоративные мероприятия, способствующие командообразованию и укреплению духа сотрудничества, Скидки на продукцию компании, Бьюти-дни, которые регулярно проводятся в офисе, у нас есть оборудованное пространство, где нашим сотрудникам предоставляются услуги барбера, массажиста и бровиста, Мы стремимся к гармонии с природой и обществом. Наш отдел устойчивого развития играет ключевую роль в этом процессе. В нашем офисе раздельный сбор отходов, в том числе редких фракций. Отказ от одноразовой посуды, стаканчиков и даже чайных пакетиков. А еще мы спасаем зубров, и это лишь малая часть нашей миссии, Для поддержания физического здоровья у нас есть ДМС, а для ментального здоровья бесплатные сессии с лучшими психологами., Путь кандидата:, Знакомимся с вашем резюме, Просим ответить на несколько вопросов, Проводим 2 собеседования: первый этап - знакомство, второй - тестовое задание и третий - финальное интервью, Принимаем решение и вы начинаете работать., Готовы стать частью нашей истории успеха? Присоединяйтесь к GRASS!",https://russia.superjob.ru/vakansii/finansovyj-analitik-51073726.html,1
